paper_id,title,authors,year,venue_or_status,publication_date,paper_url,code_url,research_problem,memory_write,memory_representation,memory_retrieval,memory_update,temporal_reasoning,contradiction_handling,forgetting,consolidation,provenance,uncertainty,learned_policy,graph_structure,agentic_rag_relation,datasets_or_benchmarks,baselines,metrics,main_method,main_contribution,main_results,limitations_stated_by_authors,limitations_you_identify,compute_requirement,open_source,relevance_to_evomem,possible_remaining_gap,evidence_level,evidence_sections,reviewed_version,canonical_publication_url
2303.11366,Reflexion: Language Agents with Verbal Reinforcement Learning,"Shinn, Noah; Cassano, Federico; Berman, Edward; Gopinath, Ashwin; Narasimhan, Karthik; Yao, Shunyu",2023,arXiv preprint; no publication venue independently verified,2023-03-20,https://arxiv.org/abs/2303.11366v4,,Reuse verbal feedback to improve later attempts,NR — not established in this review; not evidence of absence,Episodic textual reflections,LLM reflection and retry,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,Persistent memory/retrieval or its evaluation; distinguish store validity from query relevance,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,LLM reflection and retry,Reuse verbal feedback to improve later attempts,Screening conclusion: Reuse verbal feedback to improve later attempts. Quantitative results not independently extracted.,NR — not established in this review; not evidence of absence,Verbal reinforcement is not gradient-based learned memory control,NR — not established in this review; not evidence of absence,No own code/project URL verified in this review,Reuse verbal feedback to improve later attempts,Verbal reinforcement is not gradient-based learned memory control,bibliographic and abstract screening,arXiv bibliographic page and abstract only; do not infer omitted capabilities,v4 (2023-10-10),
2304.03442,Generative Agents: Interactive Simulacra of Human Behavior,"Park, Joon Sung; O'Brien, Joseph C.; Cai, Carrie J.; Morris, Meredith Ringel; Liang, Percy; Bernstein, Michael S.",2023,arXiv preprint; no publication venue independently verified,2023-04-07,https://arxiv.org/abs/2304.03442v2,,Maintain experience and reflections for persistent simulated behavior,NR — not established in this review; not evidence of absence,Raw memory stream and higher-level reflections,"Recency, relevance and importance retrieval",NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,Persistent memory/retrieval or its evaluation; distinguish store validity from query relevance,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,"Recency, relevance and importance retrieval",Maintain experience and reflections for persistent simulated behavior,Screening conclusion: Maintain experience and reflections for persistent simulated behavior. Quantitative results not independently extracted.,NR — not established in this review; not evidence of absence,Believability is not a test of safe epistemic revision,NR — not established in this review; not evidence of absence,No own code/project URL verified in this review,Maintain experience and reflections for persistent simulated behavior,Believability is not a test of safe epistemic revision,bibliographic and abstract screening,arXiv bibliographic page and abstract only; do not infer omitted capabilities,v2 (2023-08-06),
2305.10250,MemoryBank: Enhancing Large Language Models with Long-Term Memory,"Zhong, Wanjun; Guo, Lianghong; Gao, Qiqi; Ye, He; Wang, Yanlin",2023,arXiv preprint; no publication venue independently verified,2023-05-17,https://arxiv.org/abs/2305.10250v3,,Long-term personalized conversation with forgetting and reinforcement,NR — not established in this review; not evidence of absence,Conversation memories and user summaries,Time/importance-dependent decay and retrieval,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,Persistent memory/retrieval or its evaluation; distinguish store validity from query relevance,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,Time/importance-dependent decay and retrieval,Long-term personalized conversation with forgetting and reinforcement,Screening conclusion: Long-term personalized conversation with forgetting and reinforcement. Quantitative results not independently extracted.,NR — not established in this review; not evidence of absence,Decay does not establish that a fact is false or superseded,NR — not established in this review; not evidence of absence,No own code/project URL verified in this review,Long-term personalized conversation with forgetting and reinforcement,Decay does not establish that a fact is false or superseded,bibliographic and abstract screening,arXiv bibliographic page and abstract only; do not infer omitted capabilities,v3 (2023-05-21),
2305.16291,Voyager: An Open-Ended Embodied Agent with Large Language Models,"Wang, Guanzhi; Xie, Yuqi; Jiang, Yunfan; Mandlekar, Ajay; Xiao, Chaowei; Zhu, Yuke; Fan, Linxi; Anandkumar, Anima",2023,arXiv preprint; no publication venue independently verified,2023-05-25,https://arxiv.org/abs/2305.16291v2,,Accumulate reusable executable skills during exploration,NR — not established in this review; not evidence of absence,Code skill library,Embedding retrieval and LLM curriculum,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,Persistent memory/retrieval or its evaluation; distinguish store validity from query relevance,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,Embedding retrieval and LLM curriculum,Accumulate reusable executable skills during exploration,Screening conclusion: Accumulate reusable executable skills during exploration. Quantitative results not independently extracted.,NR — not established in this review; not evidence of absence,Procedural reuse does not imply general semantic invalidation,NR — not established in this review; not evidence of absence,No own code/project URL verified in this review,Accumulate reusable executable skills during exploration,Procedural reuse does not imply general semantic invalidation,bibliographic and abstract screening,arXiv bibliographic page and abstract only; do not infer omitted capabilities,v2 (2023-10-19),
2308.10144,ExpeL: LLM Agents Are Experiential Learners,"Zhao, Andrew; Huang, Daniel; Xu, Quentin; Lin, Matthieu; Liu, Yong-Jin; Huang, Gao",2023,Author-reported status: Accepted by the 38th Annual AAAI Conference on Artificial Intelligence (AAAI-24),2023-08-20,https://arxiv.org/abs/2308.10144v3,,Learn task insights from accumulated successful and failed experience,NR — not established in this review; not evidence of absence,Textual insights and trajectories,LLM extraction and experience retrieval,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,Persistent memory/retrieval or its evaluation; distinguish store validity from query relevance,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,LLM extraction and experience retrieval,Learn task insights from accumulated successful and failed experience,Screening conclusion: Learn task insights from accumulated successful and failed experience. Quantitative results not independently extracted.,NR — not established in this review; not evidence of absence,Nonparametric experiential learning differs from trained lifecycle policy,NR — not established in this review; not evidence of absence,No own code/project URL verified in this review,Learn task insights from accumulated successful and failed experience,Nonparametric experiential learning differs from trained lifecycle policy,bibliographic and abstract screening,arXiv bibliographic page and abstract only; do not infer omitted capabilities,v3 (2024-12-20),
2310.08560,MemGPT: Towards LLMs as Operating Systems,"Packer, Charles; Wooders, Sarah; Lin, Kevin; Fang, Vivian; Patil, Shishir G.; Stoica, Ion; Gonzalez, Joseph E.",2023,arXiv preprint; no publication venue independently verified,2023-10-12,https://arxiv.org/abs/2310.08560v2,,Manage context by moving information between memory tiers,NR — not established in this review; not evidence of absence,"Working context, archival and recall stores",LLM function calls and interrupts,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,Persistent memory/retrieval or its evaluation; distinguish store validity from query relevance,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,LLM function calls and interrupts,Manage context by moving information between memory tiers,Screening conclusion: Manage context by moving information between memory tiers. Quantitative results not independently extracted.,NR — not established in this review; not evidence of absence,Virtual context capacity does not guarantee evidence validity,NR — not established in this review; not evidence of absence,No own code/project URL verified in this review,Manage context by moving information between memory tiers,Virtual context capacity does not guarantee evidence validity,bibliographic and abstract screening,arXiv bibliographic page and abstract only; do not infer omitted capabilities,v2 (2024-02-12),
2310.11511,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection","Asai, Akari; Wu, Zeqiu; Wang, Yizhong; Sil, Avirup; Hajishirzi, Hannaneh",2023,arXiv preprint; no publication venue independently verified,2023-10-17,https://arxiv.org/abs/2310.11511v1,,Learn when to retrieve and critique evidence and generation,NR — not established in this review; not evidence of absence,Retrieved passages and reflection tokens,Trained LM adaptive retrieval,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,◐ — see capability matrix definition and cited sections,✅ — see capability matrix definition and cited sections,NR — not established in this review; not evidence of absence,Adaptive external retrieval precedent; not itself a full persistent-memory lifecycle,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,Trained LM adaptive retrieval,Learn when to retrieve and critique evidence and generation,Screening conclusion: Learn when to retrieve and critique evidence and generation. Quantitative results not independently extracted.,NR — not established in this review; not evidence of absence,Evidence critique is not durable-memory version management,NR — not established in this review; not evidence of absence,No own code/project URL verified in this review,Learn when to retrieve and critique evidence and generation,Evidence critique is not durable-memory version management,bibliographic and abstract screening,arXiv bibliographic page and abstract only; do not infer omitted capabilities,v1 (2023-10-17),
2401.15884,Corrective Retrieval Augmented Generation,"Yan, Shi-Qi; Gu, Jia-Chen; Zhu, Yun; Ling, Zhen-Hua",2024,arXiv preprint; no publication venue independently verified,2024-01-29,https://arxiv.org/abs/2401.15884v3,,Recover from poor retrieved evidence using evaluation and web search,NR — not established in this review; not evidence of absence,Documents and filtered evidence,Retrieval evaluator selects corrective actions,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,◐ — see capability matrix definition and cited sections,◐ — see capability matrix definition and cited sections,NR — not established in this review; not evidence of absence,Adaptive external retrieval precedent; not itself a full persistent-memory lifecycle,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,Retrieval evaluator selects corrective actions,Recover from poor retrieved evidence using evaluation and web search,Screening conclusion: Recover from poor retrieved evidence using evaluation and web search. Quantitative results not independently extracted.,NR — not established in this review; not evidence of absence,External retrieval routing is already prior art,NR — not established in this review; not evidence of absence,No own code/project URL verified in this review,Recover from poor retrieved evidence using evaluation and web search,External retrieval routing is already prior art,bibliographic and abstract screening,arXiv bibliographic page and abstract only; do not infer omitted capabilities,v3 (2024-10-07),
2401.18059,RAPTOR: Recursive Abstractive Processing for Tree-Organized Retrieval,"Sarthi, Parth; Abdullah, Salman; Tuli, Aditi; Khanna, Shubh; Goldie, Anna; Manning, Christopher D.",2024,arXiv preprint; no publication venue independently verified,2024-01-31,https://arxiv.org/abs/2401.18059v1,,Retrieve information across abstraction levels of long documents,NR — not established in this review; not evidence of absence,Recursive summary tree,"Embedding, clustering and hierarchical retrieval",NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,Persistent memory/retrieval or its evaluation; distinguish store validity from query relevance,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,"Embedding, clustering and hierarchical retrieval",Retrieve information across abstraction levels of long documents,Screening conclusion: Retrieve information across abstraction levels of long documents. Quantitative results not independently extracted.,NR — not established in this review; not evidence of absence,Summary organization does not by itself validate downstream revision,NR — not established in this review; not evidence of absence,No own code/project URL verified in this review,Retrieve information across abstraction levels of long documents,Summary organization does not by itself validate downstream revision,bibliographic and abstract screening,arXiv bibliographic page and abstract only; do not infer omitted capabilities,v1 (2024-01-31),
2402.04624,MEMORYLLM: Towards Self-Updatable Large Language Models,"Wang, Yu; Gao, Yifan; Chen, Xiusi; Jiang, Haoming; Li, Shiyang; Yang, Jingfeng; Yin, Qingyu; Li, Zheng; Li, Xian; Yin, Bing; Shang, Jingbo; McAuley, Julian",2024,arXiv preprint; no publication venue independently verified,2024-02-07,https://arxiv.org/abs/2402.04624v2,https://github.com/wangyu-ustc/MemoryLLM,Update knowledge in a fixed-size latent memory pool,NR — not established in this review; not evidence of absence,Transformer latent memory,Learned text-conditioned self-update,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,Persistent memory/retrieval or its evaluation; distinguish store validity from query relevance,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,NR — not established in this review; not evidence of absence,Learned text-conditioned self-update,Update knowledge in a fixed-size latent memory pool,Screening conclusion: Update knowledge in a fixed-size latent memory pool. Quantitative results not independently extracted.,NR — not established in this review; not evidence of absence,Different storage and training regime from API-accessible text memory,NR — not established in this review; not evidence of absence,Paper-linked public code/project URL; license and reproducibility not audited,Update knowledge in a fixed-size latent memory pool,Different storage and training regime from API-accessible text memory,bibliographic and abstract screening,arXiv bibliographic page and abstract only; do not infer omitted capabilities,v2 (2024-05-26),
