schema_version,annotator_id,case_id,checkpoint,evidence_json,claims_json,tasks_json,belief_states_json,relations_json,support_sets_json,affected_beliefs_json,preserved_beliefs_json,historical_valid_beliefs_json,ambiguous_relationships_json,notes
1.0,A,HF7A0C8D7,t2,"[{""record_id"": ""S2@0"", ""source_id"": ""S2"", ""observed_at"": ""t0"", ""text"": ""Study report claims a sample had property P at t0.""}, {""record_id"": ""S1@0"", ""source_id"": ""S1"", ""observed_at"": ""t0"", ""text"": ""The review article reproduces the study’s result and reports no additional assay of the raw material.""}, {""record_id"": ""S2@1"", ""source_id"": ""S2"", ""observed_at"": ""t1"", ""text"": ""Authors retract the result after finding that the sample label was wrong.""}, {""record_id"": ""S1@2"", ""source_id"": ""S1"", ""observed_at"": ""t2"", ""text"": ""Review article removes the claim and marks the retraction.""}]","[{""claim_id"": ""B1"", ""text"": ""Sample identifier is S-72.""}, {""claim_id"": ""B2"", ""text"": ""The sample had P at t0 as an established fact.""}, {""claim_id"": ""B3"", ""text"": ""The review independently confirms P at t0.""}]","{""current"": ""Assess each stored claim using only the evidence prefix provided; identify scope/time and missing information. A stored assertion is not certified true."", ""historical"": ""For t1, assess each claim (a) as known then and (b) retrospectively using the evidence now visible."", ""revision"": ""Choose current actions and record affected and preserved beliefs. Explain uncertainties without guessing."", ""permitted_time_views"": [""current"", ""historical_then"", ""historical_now""]}",,,,,,,,
1.0,A,H9F63D390,t2,"[{""record_id"": ""S2@0"", ""source_id"": ""S2"", ""observed_at"": ""t0"", ""text"": ""I’ve had to calibrate the pressure sensors again this morning because living at 3,800 meters always seems to affect the sensitivity of the readings over time.""}, {""record_id"": ""S1@0"", ""source_id"": ""S1"", ""observed_at"": ""t0"", ""text"": ""Instrument manual: altitude calibration changes require confirmation that the instrument has relocated.""}, {""record_id"": ""S2@1"", ""source_id"": ""S2"", ""observed_at"": ""t1"", ""text"": ""I’ve started timing my morning runs with the low tide; the wet, packed sand is so much better for my joints, even if the ocean breeze leaves a constant film of salt on my glasses.""}, {""record_id"": ""S2@2"", ""source_id"": ""S2"", ""observed_at"": ""t2"", ""text"": ""I was vacationing; the sensor stayed at the mountain station.""}]","[{""claim_id"": ""B1"", ""text"": ""Keep the sensor’s 3,800-meter calibration until its own location is confirmed.""}, {""claim_id"": ""B2"", ""text"": ""The pressure sensor is now at sea level.""}, {""claim_id"": ""B3"", ""text"": ""The sensor model is P-8.""}]","{""current"": ""Assess each stored claim using only the evidence prefix provided; identify scope/time and missing information. A stored assertion is not certified true."", ""historical"": ""For t1, assess each claim (a) as known then and (b) retrospectively using the evidence now visible."", ""revision"": ""Choose current actions and record affected and preserved beliefs. Explain uncertainties without guessing."", ""permitted_time_views"": [""current"", ""historical_then"", ""historical_now""]}",,,,,,,,
1.0,A,H2687742B,t2,"[{""record_id"": ""S2@0"", ""source_id"": ""S2"", ""observed_at"": ""t0"", ""text"": ""Nora is project lead and may approve routine releases.""}, {""record_id"": ""S1@0"", ""source_id"": ""S1"", ""observed_at"": ""t0"", ""text"": ""A signed delegation names Nora as an approver for routine releases.""}, {""record_id"": ""S2@1"", ""source_id"": ""S2"", ""observed_at"": ""t1"", ""text"": ""Omar becomes lead; Nora leaves the lead role.""}, {""record_id"": ""S1@2"", ""source_id"": ""S1"", ""observed_at"": ""t2"", ""text"": ""The delegation to Nora is revoked.""}]","[{""claim_id"": ""B1"", ""text"": ""Nora may approve a routine release.""}, {""claim_id"": ""B2"", ""text"": ""Nora owns the project calendar.""}, {""claim_id"": ""B3"", ""text"": ""Nora is the project lead.""}]","{""current"": ""Assess each stored claim using only the evidence prefix provided; identify scope/time and missing information. A stored assertion is not certified true."", ""historical"": ""For t1, assess each claim (a) as known then and (b) retrospectively using the evidence now visible."", ""revision"": ""Choose current actions and record affected and preserved beliefs. Explain uncertainties without guessing."", ""permitted_time_views"": [""current"", ""historical_then"", ""historical_now""]}",,,,,,,,
1.0,A,HB1A90BC2,t2,"[{""record_id"": ""S1@0"", ""source_id"": ""S1"", ""observed_at"": ""t0"", ""text"": ""Production API contract v1 permits a single unpaginated export.""}, {""record_id"": ""S2@0"", ""source_id"": ""S2"", ""observed_at"": ""t0"", ""text"": ""The staging API contract permits an unpaginated export.""}, {""record_id"": ""S1@1"", ""source_id"": ""S1"", ""observed_at"": ""t1"", ""text"": ""Production v2 requires cursor pagination for full export.""}, {""record_id"": ""S2@2"", ""source_id"": ""S2"", ""observed_at"": ""t2"", ""text"": ""Staging adopts the same cursor-pagination requirement.""}]","[{""claim_id"": ""B1"", ""text"": ""Use one unpaginated request for a full staging export.""}, {""claim_id"": ""B2"", ""text"": ""The support email remains support@example.invalid.""}, {""claim_id"": ""B3"", ""text"": ""Use one unpaginated request for a full production export.""}]","{""current"": ""Assess each stored claim using only the evidence prefix provided; identify scope/time and missing information. A stored assertion is not certified true."", ""historical"": ""For t1, assess each claim (a) as known then and (b) retrospectively using the evidence now visible."", ""revision"": ""Choose current actions and record affected and preserved beliefs. Explain uncertainties without guessing."", ""permitted_time_views"": [""current"", ""historical_then"", ""historical_now""]}",,,,,,,,
1.0,A,H1C6F4DEE,t2,"[{""record_id"": ""S1@0"", ""source_id"": ""S1"", ""observed_at"": ""t0"", ""text"": ""The dataset record gives the machine temperature as 20 degrees at t0.""}, {""record_id"": ""S2@0"", ""source_id"": ""S2"", ""observed_at"": ""t0"", ""text"": ""The consent record permits use of the temperature record in external reports.""}, {""record_id"": ""S2@1"", ""source_id"": ""S2"", ""observed_at"": ""t1"", ""text"": ""Consent for external reporting is revoked, but retention for internal audit is allowed.""}, {""record_id"": ""S2@2"", ""source_id"": ""S2"", ""observed_at"": ""t2"", ""text"": ""External use is authorized for aggregate reporting only, not this individual record.""}]","[{""claim_id"": ""B1"", ""text"": ""Machine asset ID is M-44.""}, {""claim_id"": ""B2"", ""text"": ""Use the 20-degree record in an external report.""}, {""claim_id"": ""B3"", ""text"": ""The machine was measured at 20 degrees at t0.""}]","{""current"": ""Assess each stored claim using only the evidence prefix provided; identify scope/time and missing information. A stored assertion is not certified true."", ""historical"": ""For t1, assess each claim (a) as known then and (b) retrospectively using the evidence now visible."", ""revision"": ""Choose current actions and record affected and preserved beliefs. Explain uncertainties without guessing."", ""permitted_time_views"": [""current"", ""historical_then"", ""historical_now""]}",,,,,,,,
1.0,A,H675A3BB7,t2,"[{""record_id"": ""S1@0"", ""source_id"": ""S1"", ""observed_at"": ""t0"", ""text"": ""Supplier A certificate meets specification S for lot L.""}, {""record_id"": ""S2@0"", ""source_id"": ""S2"", ""observed_at"": ""t0"", ""text"": ""Supplier B has a certificate meeting S for the interchangeable component class. The procurement policy permits purchases from either supplier.""}, {""record_id"": ""S1@1"", ""source_id"": ""S1"", ""observed_at"": ""t1"", ""text"": ""Supplier A withdraws lot L certificate.""}, {""record_id"": ""S2@2"", ""source_id"": ""S2"", ""observed_at"": ""t2"", ""text"": ""Supplier B certificate expires.""}]","[{""claim_id"": ""B1"", ""text"": ""Purchase request number is PR-18.""}, {""claim_id"": ""B2"", ""text"": ""At least one certified source exists for the component class.""}, {""claim_id"": ""B3"", ""text"": ""Supplier A’s lot L is certified.""}]","{""current"": ""Assess each stored claim using only the evidence prefix provided; identify scope/time and missing information. A stored assertion is not certified true."", ""historical"": ""For t1, assess each claim (a) as known then and (b) retrospectively using the evidence now visible."", ""revision"": ""Choose current actions and record affected and preserved beliefs. Explain uncertainties without guessing."", ""permitted_time_views"": [""current"", ""historical_then"", ""historical_now""]}",,,,,,,,
1.0,A,H5BD271CC,t2,"[{""record_id"": ""S2@0"", ""source_id"": ""S2"", ""observed_at"": ""t0"", ""text"": ""Lab A reports throughput above 500 requests/s on hardware H.""}, {""record_id"": ""S1@0"", ""source_id"": ""S1"", ""observed_at"": ""t0"", ""text"": ""Lab B reports throughput above 500 requests/s on H. Lab B used its own load generator and measurement equipment.""}, {""record_id"": ""S2@1"", ""source_id"": ""S2"", ""observed_at"": ""t1"", ""text"": ""Lab A retracts its certificate because its load counter was faulty.""}, {""record_id"": ""S1@2"", ""source_id"": ""S1"", ""observed_at"": ""t2"", ""text"": ""Lab B retracts its certificate after finding a separate error.""}]","[{""claim_id"": ""B1"", ""text"": ""Lab B certificate remains usable.""}, {""claim_id"": ""B2"", ""text"": ""The service meets 500 requests/s on H.""}, {""claim_id"": ""B3"", ""text"": ""Service owner is Team Cedar.""}]","{""current"": ""Assess each stored claim using only the evidence prefix provided; identify scope/time and missing information. A stored assertion is not certified true."", ""historical"": ""For t1, assess each claim (a) as known then and (b) retrospectively using the evidence now visible."", ""revision"": ""Choose current actions and record affected and preserved beliefs. Explain uncertainties without guessing."", ""permitted_time_views"": [""current"", ""historical_then"", ""historical_now""]}",,,,,,,,
1.0,A,H3E67E402,t2,"[{""record_id"": ""S1@0"", ""source_id"": ""S1"", ""observed_at"": ""t0"", ""text"": ""I've been based in Seattle for the last few years.""}, {""record_id"": ""S2@0"", ""source_id"": ""S2"", ""observed_at"": ""t0"", ""text"": ""Employer logistics record: the Seattle lab is an authorized destination for this employee’s equipment, including when the employee lives elsewhere.""}, {""record_id"": ""P1@0"", ""source_id"": ""P1"", ""observed_at"": ""t0"", ""text"": ""Logistics policy: equipment may be delivered to the employee’s home city or a destination authorized by employer logistics.""}, {""record_id"": ""S1@1"", ""source_id"": ""S1"", ""observed_at"": ""t1"", ""text"": ""I just finished updating my address after settling into my new place in Austin, and I’m trying to get set up with the local utilities and services here.""}, {""record_id"": ""S2@2"", ""source_id"": ""S2"", ""observed_at"": ""t2"", ""text"": ""Seattle lab stops accepting employee equipment.""}]","[{""claim_id"": ""B1"", ""text"": ""Employee’s current home utility onboarding should use Seattle.""}, {""claim_id"": ""B2"", ""text"": ""Seattle is an authorized equipment destination.""}, {""claim_id"": ""B3"", ""text"": ""The lab asset serial number is L-209.""}]","{""current"": ""Assess each stored claim using only the evidence prefix provided; identify scope/time and missing information. A stored assertion is not certified true."", ""historical"": ""For t1, assess each claim (a) as known then and (b) retrospectively using the evidence now visible."", ""revision"": ""Choose current actions and record affected and preserved beliefs. Explain uncertainties without guessing."", ""permitted_time_views"": [""current"", ""historical_then"", ""historical_now""]}",,,,,,,,
1.0,A,H78482A9E,t2,"[{""record_id"": ""S1@0"", ""source_id"": ""S1"", ""observed_at"": ""t0"", ""text"": ""Since I’m currently based in Seattle, I’m happy to meet at a cafe in Capitol Hill or anywhere central to keep the commute reasonable for both of us.""}, {""record_id"": ""S2@0"", ""source_id"": ""S2"", ""observed_at"": ""t0"", ""text"": ""Employer record: primary base Seattle; temporary work abroad is permitted.""}, {""record_id"": ""P1@0"", ""source_id"": ""P1"", ""observed_at"": ""t0"", ""text"": ""Scheduling policy: the recorded primary base is used as the default city for proposing a local meeting.""}, {""record_id"": ""S1@1"", ""source_id"": ""S1"", ""observed_at"": ""t1"", ""text"": ""I just renewed the lease on my flat for another year, even though the constant delays on the Tube's Northern Line make getting to the office every morning a complete headache.""}, {""record_id"": ""S1@2"", ""source_id"": ""S1"", ""observed_at"": ""t2"", ""text"": ""The Northern Line routine was a month-long assignment; my permanent home is still Seattle, and I am back now.""}]","[{""claim_id"": ""B1"", ""text"": ""The project repository remains Atlas.""}, {""claim_id"": ""B2"", ""text"": ""Seattle is definitely the employee’s sole present home base.""}, {""claim_id"": ""B3"", ""text"": ""Seattle is the current default city for proposing a local meeting.""}]","{""current"": ""Assess each stored claim using only the evidence prefix provided; identify scope/time and missing information. A stored assertion is not certified true."", ""historical"": ""For t1, assess each claim (a) as known then and (b) retrospectively using the evidence now visible."", ""revision"": ""Choose current actions and record affected and preserved beliefs. Explain uncertainties without guessing."", ""permitted_time_views"": [""current"", ""historical_then"", ""historical_now""]}",,,,,,,,
1.0,A,HCAE50175,t2,"[{""record_id"": ""S2@0"", ""source_id"": ""S2"", ""observed_at"": ""t0"", ""text"": ""I finally feel like I have a handle on the workflow now that I've settled into being an independent contractor rather than answering to a department head.""}, {""record_id"": ""S1@0"", ""source_id"": ""S1"", ""observed_at"": ""t0"", ""text"": ""Procurement policy: contractor-portal access lasts while the contractor agreement is active.""}, {""record_id"": ""S2@1"", ""source_id"": ""S2"", ""observed_at"": ""t1"", ""text"": ""I spent my lunch break clicking through the open enrollment portal, relieved that I could finally opt into the premium dental plan and secure the company match for my retirement fund.""}, {""record_id"": ""S2@2"", ""source_id"": ""S2"", ""observed_at"": ""t2"", ""text"": ""I have an employee role as well, but my separate contractor agreement remains active.""}]","[{""claim_id"": ""B1"", ""text"": ""The contractor agreement has definitely ended.""}, {""claim_id"": ""B2"", ""text"": ""The purchase order identifier is PO-61.""}, {""claim_id"": ""B3"", ""text"": ""Keep contractor portal access active pending an explicit contract-status update.""}]","{""current"": ""Assess each stored claim using only the evidence prefix provided; identify scope/time and missing information. A stored assertion is not certified true."", ""historical"": ""For t1, assess each claim (a) as known then and (b) retrospectively using the evidence now visible."", ""revision"": ""Choose current actions and record affected and preserved beliefs. Explain uncertainties without guessing."", ""permitted_time_views"": [""current"", ""historical_then"", ""historical_now""]}",,,,,,,,
